year,month,region,antidepressant_items,antidepressant_cost,ssri_items,snri_items,other_antidep_items,list_size,items_per_1000,depression_prevalence
2019,1,North East,142500,1876000,98750,28500,15250,2654000,53.7,11.2
2019,1,North West,245600,3234000,170000,49100,26500,4589000,53.5,11.5
2019,1,Yorkshire,198400,2612000,137400,39200,21800,3897000,50.9,10.8
2019,1,East Midlands,165300,2178000,114500,32700,18100,3345000,49.4,10.3
2019,1,West Midlands,223800,2947000,155000,44300,24500,4501000,49.7,10.6
2019,1,East of England,189700,2498000,131500,37600,20600,3812000,49.8,10.4
2019,1,London,267800,3525000,185500,53000,29300,5456000,49.1,9.8
2019,1,South East,276500,3640000,191500,54700,30300,5612000,49.3,10.1
2019,1,South West,187600,2470000,130000,37100,20500,3789000,49.5,10.2
2019,2,North East,143200,1885000,99200,28600,15400,2655000,53.9,11.2
2019,2,North West,246900,3251000,170900,49400,26600,4591000,53.8,11.5
2019,2,Yorkshire,199500,2627000,138200,39500,21800,3899000,51.2,10.8
2019,2,East Midlands,166100,2189000,115000,32900,18200,3346000,49.6,10.3
2019,2,West Midlands,224900,2961000,155800,44600,24500,4503000,49.9,10.6
2019,2,East of England,190600,2512000,132100,37800,20700,3814000,50.0,10.4
2019,2,London,269300,3546000,186400,53300,29600,5459000,49.3,9.8
2019,2,South East,277800,3658000,192400,55000,30400,5615000,49.5,10.1
2019,2,South West,188700,2484000,130700,37300,20700,3791000,49.8,10.2
2019,3,North East,144100,1896000,99800,28800,15500,2656000,54.2,11.3
2019,3,North West,248500,3272000,172000,49700,26800,4594000,54.1,11.6
2019,3,Yorkshire,200800,2644000,139100,39800,21900,3901000,51.5,10.9
2019,3,East Midlands,167100,2202000,115700,33100,18300,3348000,49.9,10.4
2019,3,West Midlands,226200,2977000,156700,44900,24600,4506000,50.2,10.7
2019,3,East of England,191700,2527000,132800,38100,20800,3816000,50.2,10.5
2019,3,London,271100,3571000,187500,53700,29900,5462000,49.6,9.9
2019,3,South East,279400,3679000,193500,55400,30500,5618000,49.7,10.2
2019,3,South West,189900,2500000,131500,37600,20800,3794000,50.1,10.3
