practice_id,year,training_costs,implementation_costs,staff_time_costs,total_costs,medication_costs_baseline,medication_costs_post,medication_savings,qaly_gained,net_benefit,roi,payback_period
GP001,2020,1200,800,1000,3000,12500,8300,4200,8.5,11200,373,3
GP001,2021,0,200,400,600,12500,5200,7300,15.2,21900,3650,0
GP002,2020,1200,1000,1200,3400,18200,14100,4100,10.2,10800,318,4
GP002,2021,0,200,400,600,18200,10500,7700,18.5,15200,2533,0
GP003,2020,1200,600,800,2600,7800,5900,1900,5.8,4700,181,5
GP003,2021,0,150,300,450,7800,4200,3600,11.4,7150,1589,0
GP004,2020,1400,1500,1800,4700,28500,22100,6400,21.3,17700,377,4
GP004,2021,0,300,600,900,28500,15800,12700,38.6,24500,2722,0
GP005,2020,1200,900,1100,3200,14600,10800,3800,9.7,9800,306,4
GP005,2021,0,200,400,600,14600,7900,6700,17.2,12800,2133,0
